"method,dataset_size,T,queries_num,conditions,seed,runtime_sec,imp_R,diversity,query_coverage"
"1,100,20,100,1,1628329333,0.24457693099975586,0.2331916537867079,3.7967370458691363e-07,0.8"
"2,100,20,100,1,1628329333,0.221369,0.316457,3e-06,0.78"
"1,100,20,100,1,1631597539,0.1687333583831787,0.2247320692497939,4.6348212556779345e-07,0.9"
"2,100,20,100,1,1631597539,0.204127,0.314811,3e-06,0.83"
"1,100,20,100,1,708394962,0.16900873184204102,0.2210186240973014,6.851697800236423e-07,0.72"
"2,100,20,100,1,708394962,0.219035,0.331229,3e-06,0.71"
"1,100,20,100,1,440870980,0.18191885948181152,0.22726450913035617,3.0173322629334365e-07,0.84"
"2,100,20,100,1,440870980,0.231734,0.32526,3e-06,0.8"
"1,100,20,100,1,2107097192,0.21698284149169922,0.2221653005464481,3.809512828523154e-07,0.76"
"2,100,20,100,1,2107097192,0.258348,0.326342,3e-06,0.74"
"1,100,20,100,3,90979780,0.2394270896911621,0.2186161449752883,5.801475804201317e-07,0.8"
"2,100,20,100,3,90979780,0.30154,0.329406,3e-06,0.76"
"1,100,20,100,3,1102230779,0.22340011596679688,0.21713927620241266,5.841185232169366e-07,0.85"
"2,100,20,100,3,1102230779,0.267001,0.332234,3e-06,0.83"
"1,100,20,100,3,300282876,0.20875000953674316,0.21867048346055978,2.4160111156135144e-07,0.83"
"2,100,20,100,3,300282876,0.265416,0.330598,3e-06,0.8"
"1,100,20,100,3,1360414243,0.20130705833435059,0.2226118904475618,3.9966019005355236e-07,0.76"
"2,100,20,100,3,1360414243,0.261183,0.320711,3e-06,0.74"
"1,100,20,100,3,1699004169,0.20530176162719727,0.22474645030425963,4.841931885435358e-07,0.74"
"2,100,20,100,3,1699004169,0.292389,0.327633,3e-06,0.67"
"1,100,20,200,1,1036460450,0.36977601051330566,0.23079956620329292,3.8779526523313734e-07,0.785"
"2,100,20,200,1,1036460450,0.488361,0.318956,3e-06,0.79"
"1,100,20,200,1,1742613149,0.3863518238067627,0.21819196428571427,4.313832933089401e-07,0.855"
"2,100,20,200,1,1742613149,0.471756,0.328674,3e-06,0.8"
"1,100,20,200,1,1337234715,0.4135780334472656,0.21724552957359008,6.494581208382755e-07,0.825"
"2,100,20,200,1,1337234715,0.468786,0.327226,3e-06,0.82"
"1,100,20,200,1,1000176228,0.37736010551452637,0.22485007179660443,3.760542408581813e-07,0.83"
"2,100,20,200,1,1000176228,0.475089,0.322577,3e-06,0.83"
"1,100,20,200,1,133568709,0.3950071334838867,0.222,4.188135430682749e-07,0.795"
"2,100,20,200,1,133568709,0.468724,0.327389,3e-06,0.78"
"1,100,20,200,3,1317898523,0.3902587890625,0.2151043448511803,5.98277611785214e-07,0.83"
"2,100,20,200,3,1317898523,0.581018,0.327233,3e-06,0.765"
"1,100,20,200,3,2052105819,0.42006492614746094,0.2177671068427371,2.4542505228097866e-07,0.8"
"2,100,20,200,3,2052105819,0.538891,0.324919,3e-06,0.77"
"1,100,20,200,3,1576576154,0.3312540054321289,0.22537622780931785,4.252575174223949e-07,0.78"
"2,100,20,200,3,1576576154,0.471905,0.319158,3e-06,0.76"
"1,100,20,200,3,1756784598,0.3195967674255371,0.22317270221461838,4.175026231401091e-07,0.77"
"2,100,20,200,3,1756784598,0.462732,0.325918,3e-06,0.72"
"1,100,20,200,3,1924013717,0.3564140796661377,0.21923465173901074,5.721339291220318e-07,0.755"
"2,100,20,200,3,1924013717,0.581488,0.32627,3e-06,0.74"
"1,500,100,100,1,833399047,0.22752714157104492,0.22798283261802574,3.2910960978682624e-07,0.8"
"2,500,100,100,1,833399047,0.297445,0.380638,,0.8"
"1,500,100,100,1,1106464839,0.21944880485534668,0.2249188230174405,3.090970066566001e-07,0.82"
"2,500,100,100,1,1106464839,0.278802,0.380702,,0.82"
"1,500,100,100,1,233457397,0.2563812732696533,0.23075919219601318,4.1784568116653986e-07,0.84"
"2,500,100,100,1,233457397,0.290892,0.375608,,0.85"
"1,500,100,100,1,1342456922,0.26900506019592285,0.2212811722793574,4.838928031603018e-07,0.86"
"2,500,100,100,1,1342456922,0.290999,0.383857,,0.82"
"1,500,100,100,1,1185634814,0.2773768901824951,0.23144379486420483,5.573611452369676e-07,0.87"
"2,500,100,100,1,1185634814,0.292694,0.389905,,0.85"
"1,500,100,100,3,1620443819,0.2396399974822998,0.22330561483552874,4.3113376879677645e-07,0.8"
"2,500,100,100,3,1620443819,0.336431,0.382018,,0.82"
"1,500,100,100,3,1082069754,0.2367870807647705,0.2214338781575037,4.083427708190257e-07,0.86"
"2,500,100,100,3,1082069754,0.318835,0.375404,,0.82"
"1,500,100,100,3,745156811,0.2301769256591797,0.21994156054976371,5.792699026008208e-07,0.84"
"2,500,100,100,3,745156811,0.297516,0.381202,,0.84"
"1,500,100,100,3,1304884447,0.2218918800354004,0.21937978440868613,7.205451626468573e-07,0.73"
"2,500,100,100,3,1304884447,0.296624,0.382825,,0.74"
"1,500,100,100,3,282860084,0.2156379222869873,0.22262446682676798,5.980757751267163e-07,0.8"
"2,500,100,100,3,282860084,0.286616,0.385066,,0.8"
"1,500,100,200,1,1088870451,0.37740421295166016,0.22278158026308983,4.092741446859449e-07,0.855"
"2,500,100,200,1,1088870451,0.458093,0.377013,,0.84"
"1,500,100,200,1,140610328,0.3083682060241699,0.22336146928348263,4.342940201906842e-07,0.835"
"2,500,100,200,1,140610328,0.411668,0.377923,,0.86"
"1,500,100,200,1,789506046,0.28079700469970703,0.21982250699661215,4.76103091284763e-07,0.785"
"2,500,100,200,1,789506046,0.360565,0.381066,,0.79"
"1,500,100,200,1,1459740821,0.29143500328063965,0.2158395924922538,4.330564898902267e-07,0.855"
"2,500,100,200,1,1459740821,0.391406,0.380421,,0.805"
"1,500,100,200,1,459349354,0.3496718406677246,0.2201506102311088,4.6754062876797065e-07,0.88"
"2,500,100,200,1,459349354,0.497699,0.378823,,0.855"
"1,500,100,200,3,1093713595,0.42789673805236816,0.21920973452798512,4.248742043744258e-07,0.84"
"2,500,100,200,3,1093713595,0.666105,0.378558,,0.82"
"1,500,100,200,3,1976980206,0.4249138832092285,0.21959344038264433,4.2848555215080353e-07,0.81"
"2,500,100,200,3,1976980206,0.564635,0.383291,,0.79"
"1,500,100,200,3,1217979184,0.37358593940734863,0.22342768726676981,3.9315206001866443e-07,0.81"
"2,500,100,200,3,1217979184,0.529479,0.379538,,0.785"
"1,500,100,200,3,1004401199,0.31806206703186035,0.2179182806447582,4.7388656443381194e-07,0.77"
"2,500,100,200,3,1004401199,0.460169,0.376854,,0.785"
"1,500,100,200,3,705799545,0.2847411632537842,0.2166011436740529,3.913590583826121e-07,0.77"
"2,500,100,200,3,705799545,0.437229,0.375734,,0.755"
"1,2000,400,100,1,2013090813,0.14151668548583984,0.22796549780372888,5.800262468103057e-07,0.85"
"2,2000,400,100,1,2013090813,0.229793,0.448634,,0.86"
"1,2000,400,100,1,398565021,0.15999197959899902,0.21676159059866504,4.4827409317882427e-07,0.88"
"2,2000,400,100,1,398565021,0.238762,0.437842,,0.89"
"1,2000,400,100,1,1741387518,0.16132807731628418,0.23988390779784605,5.820625808006241e-07,0.84"
"2,2000,400,100,1,1741387518,0.240405,0.446336,,0.82"
"1,2000,400,100,1,88176648,0.15456008911132812,0.2160548913958579,5.596337544488961e-07,0.85"
"2,2000,400,100,1,88176648,0.247557,0.445061,,0.86"
"1,2000,400,100,1,508464063,0.159837007522583,0.2162546028406102,6.315342517826394e-07,0.83"
"2,2000,400,100,1,508464063,0.247094,0.437874,,0.85"
"1,2000,400,100,3,1888567326,0.1636219024658203,0.23527873140428315,5.819019319730501e-07,0.83"
"2,2000,400,100,3,1888567326,0.273552,0.439671,,0.82"
"1,2000,400,100,3,1415633790,0.13546109199523926,0.21972726705916934,3.9118354977496494e-07,0.83"
"2,2000,400,100,3,1415633790,0.237834,0.444223,,0.91"
"1,2000,400,100,3,645529561,0.14743423461914062,0.22783570606148648,5.33157262450068e-07,0.82"
"2,2000,400,100,3,645529561,0.251413,0.441789,,0.82"
"1,2000,400,100,3,1227213195,0.1914830207824707,0.2176886211664867,5.618190742628926e-07,0.86"
"2,2000,400,100,3,1227213195,0.271208,0.446101,,0.85"
"1,2000,400,100,3,103737913,0.1576080322265625,0.21821964305266617,5.852806972406199e-07,0.93"
"2,2000,400,100,3,103737913,0.26954,0.44058,,0.91"
"1,2000,400,200,1,1053162922,0.29441094398498535,0.22150172628891404,6.653985213933566e-07,0.88"
"2,2000,400,200,1,1053162922,0.446492,0.447936,,0.9"
"1,2000,400,200,1,1252915824,0.28171300888061523,0.21855925752029648,5.096427078132848e-07,0.825"
"2,2000,400,200,1,1252915824,0.384764,0.442378,,0.87"
"1,2000,400,200,1,1630124795,0.2297840118408203,0.22616377845735644,4.3021185058833566e-07,0.87"
"2,2000,400,200,1,1630124795,0.400701,0.441343,,0.875"
"1,2000,400,200,1,631029232,0.2891690731048584,0.2229539086855294,6.252086454106021e-07,0.87"
"2,2000,400,200,1,631029232,0.477149,0.44811,,0.88"
"1,2000,400,200,1,97143004,0.3539450168609619,0.22189912631527778,5.610208211326295e-07,0.87"
"2,2000,400,200,1,97143004,0.552997,0.440737,,0.865"
"1,2000,400,200,3,2016703118,0.46211886405944824,0.21545307029575456,5.416952876258208e-07,0.795"
"2,2000,400,200,3,2016703118,0.667352,0.438579,,0.82"
"1,2000,400,200,3,401095018,0.47162389755249023,0.21882297031150755,4.907940598375404e-07,0.85"
"2,2000,400,200,3,401095018,0.638392,0.449368,,0.845"
"1,2000,400,200,3,209962718,0.39854884147644043,0.22239887189979815,4.3607192468098077e-07,0.845"
"2,2000,400,200,3,209962718,0.638844,0.437842,,0.84"
"1,2000,400,200,3,1918616754,0.4055309295654297,0.22312937581244727,5.918512602232084e-07,0.86"
"2,2000,400,200,3,1918616754,0.641624,0.442215,,0.855"
"1,2000,400,200,3,913782473,0.3916440010070801,0.21794404209868182,4.919570499861692e-07,0.83"
"2,2000,400,200,3,913782473,0.621897,0.444129,,0.82"